,возврат_обмен,другое,жалобы,получение_посылки,проблемы_доставки,проблемы_с_кодом,связь_с_оператором,статус_заказа,технические_проблемы
возврат_обмен,2286,3022,0,4111,111,155,193,122,0
другое,0,10000,0,0,0,0,0,0,0
жалобы,16,233,5961,1844,170,225,1112,285,154
получение_посылки,0,68,0,9932,0,0,0,0,0
проблемы_доставки,0,132,0,4167,4908,252,207,334,0
проблемы_с_кодом,0,51,0,5930,0,4019,0,0,0
связь_с_оператором,0,1132,0,1415,0,202,7251,0,0
статус_заказа,0,174,0,7686,0,195,96,1849,0
технические_проблемы,12,1076,0,6329,143,354,175,85,1826
